,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Spain,61000,,,,,,,,,,,,,
England,61000,,,,,,,,,,,,,
Germany,61000,,,,,,,,,,,,,
Italy,61000,,,,,,,,,,,,,
France,45750,,,,,,,,,,,,,
Portugal,18170,,,,,,,,,,,,,
Russia,33420,,,,,,,,,,,,,
Netherlands,8580,,,,,,,,,,,,,
Ukraine,18170,,,,,,,,,,,,,
Turkey,18170,,,,,,,,,,,,,
Greece,1440,,,,,,,,,,,,,
Belgium,18170,,,,,,,,,,,,,
Switzerland,8580,,,,,,,,,,,,,
Scotland,540,,,,,,,,,,,,,
Romania,660,,,,,,,,,,,,,
Czech,18170,,,,,,,,,,,,,
Denmark,660,,,,,,,,,,,,,
Austria,1440,,,,,,,,,,,,,
Cyprus,540,,,,,,,,,,,,,
Israel,540,,,,,,,,,,,,,
Belarus,660,,,,,,,,,,,,,
Croatia,660,,,,,,,,,,,,,
Bulgaria,540,,,,,,,,,,,,,
Norway,540,,,,,,,,,,,,,
Serbia,540,,,,,,,,,,,,,
Sweden,540,,,,,,,,,,,,,
Poland,540,,,,,,,,,,,,,
Slovakia,540,,,,,,,,,,,,,
Slovenia,540,,,,,,,,,,,,,
Kazakhstan,540,,,,,,,,,,,,,
Azerbaijan,540,,,,,,,,,,,,,
Hungary,540,,,,,,,,,,,,,
Moldova,540,,,,,,,,,,,,,
Albania,540,,,,,,,,,,,,,
Ireland,540,,,,,,,,,,,,,
Finland,540,,,,,,,,,,,,,
Macedonia,540,,,,,,,,,,,,,
Luxembourg,540,,,,,,,,,,,,,
Latvia,540,,,,,,,,,,,,,
Lithuania,540,,,,,,,,,,,,,
Armenia,540,,,,,,,,,,,,,
Georgia,540,,,,,,,,,,,,,
Iceland,540,,,,,,,,,,,,,
Malta,540,,,,,,,,,,,,,
Faeroes,540,,,,,,,,,,,,,
Wales,540,,,,,,,,,,,,,
Northern Ireland,540,,,,,,,,,,,,,
Bosnia,540,,,,,,,,,,,,,
Estonia,540,,,,,,,,,,,,,
Montenegro,540,,,,,,,,,,,,,
Andorra,490,,,,,,,,,,,,,
San Marino,490,,,,,,,,,,,,,
Gibraltar,490,,,,,,,,,,,,,
Kosovo,490,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,
